,#agent actions,#computer actions,result
0,5,4,win
1,5,4,win
2,5,4,win
3,5,4,win
4,5,4,win
5,5,4,win
6,5,4,win
7,5,4,win
8,5,4,win
9,5,4,tie
10,5,4,win
11,5,4,win
12,5,4,win
13,5,4,win
14,5,4,win
15,5,4,win
16,5,4,win
17,5,4,win
18,5,4,win
19,5,4,win
20,5,4,win
21,5,4,win
22,5,4,win
23,5,4,win
24,5,4,win
25,5,4,win
26,5,4,win
27,5,4,win
28,5,4,win
29,5,4,tie
30,5,4,win
31,5,4,win
32,5,4,win
33,5,4,win
34,5,4,win
35,5,4,tie
36,5,4,win
37,5,4,tie
38,5,4,win
39,5,4,tie
40,5,4,win
41,5,4,win
42,5,4,win
43,5,4,win
44,5,4,win
45,5,4,win
46,5,4,win
47,5,4,win
48,5,4,tie
49,5,4,win
50,5,4,win
51,5,4,win
52,5,4,win
53,5,4,win
54,5,4,win
55,5,4,tie
56,5,4,win
57,5,4,win
58,5,4,win
59,5,4,win
60,5,4,win
61,5,4,win
62,5,4,win
63,5,4,win
64,5,4,win
65,5,4,win
66,5,4,win
67,5,4,win
68,5,4,win
69,5,4,win
70,5,4,win
71,5,4,win
72,5,4,win
73,5,4,win
74,5,4,win
75,5,4,tie
76,5,4,win
77,5,4,win
78,5,4,tie
79,5,4,win
80,5,4,win
81,5,4,win
82,5,4,win
83,5,4,win
84,5,4,win
85,5,4,win
86,5,4,win
87,5,4,tie
88,5,4,win
89,5,4,win
90,5,4,win
91,5,4,win
92,5,4,tie
93,5,4,win
94,5,4,tie
95,5,4,tie
96,5,4,win
97,5,4,win
98,5,4,win
99,5,4,win
